seed,case,sample_size,duration
2,"[True, False, False]",100,6.819535255432129
2,"[True, False, True]",100,6.8121442794799805
2,"[True, True, False]",100,4.538344621658325
2,"[True, True, True]",100,4.539790391921997
2,"[False, False, False]",1000,4.563514471054077
2,"[False, False, True]",1000,4.582472801208496
2,"[False, True, False]",1000,6.927730560302734
2,"[False, True, True]",1000,7.539809226989746
2,"[True, False, False]",1000,6.8481080532073975
2,"[True, False, True]",1000,6.628548860549927
2,"[True, True, False]",1000,4.519509553909302
2,"[True, True, True]",1000,4.677404165267944
2,"[False, False, False]",10000,4.694187164306641
2,"[False, False, True]",10000,4.6889426708221436
2,"[False, True, False]",10000,8.107436656951904
2,"[False, True, True]",10000,7.60297417640686
2,"[True, False, False]",10000,6.862550973892212
2,"[True, False, True]",10000,6.901436805725098
2,"[True, True, False]",10000,4.334344863891602
2,"[True, True, True]",10000,6.300181150436401
2,"[False, False, False]",100000,9.434810638427734
2,"[False, False, True]",100000,9.023271560668945
2,"[False, True, False]",100000,13.594156503677368
2,"[False, True, True]",100000,12.334353923797607
2,"[True, False, False]",100000,11.358649015426636
2,"[True, False, True]",100000,12.707945346832275
2,"[True, True, False]",100000,7.381568431854248
2,"[True, True, True]",100000,8.4776029586792
3,"[False, False, False]",10,4.198930740356445
3,"[False, False, True]",10,3.04518461227417
3,"[False, True, False]",10,6.366132974624634
3,"[False, True, True]",10,5.179635047912598
3,"[True, False, False]",10,5.985980272293091
3,"[True, False, True]",10,5.098475217819214
3,"[True, True, False]",10,4.076073884963989
3,"[True, True, True]",10,4.1296985149383545
3,"[False, False, False]",100,3.797001600265503
3,"[False, False, True]",100,5.7484047412872314
3,"[False, True, False]",100,6.821022033691406
3,"[False, True, True]",100,6.840911865234375
3,"[True, False, False]",100,6.84569239616394
3,"[True, False, True]",100,7.513295412063599
3,"[True, True, False]",100,4.548146724700928
3,"[True, True, True]",100,4.492400646209717
3,"[False, False, False]",1000,4.644939184188843
3,"[False, False, True]",1000,4.683619737625122
3,"[False, True, False]",1000,6.651555776596069
3,"[False, True, True]",1000,11.370029211044312
3,"[True, False, False]",1000,6.998263835906982
3,"[True, False, True]",1000,6.676007986068726
